@id,o:id,dcterms:title/0/@value,dcterms:identifier/0/@value,schema:foundingDate/0/@value,schema:homeLocation/0/value_resource_id,schema:homeLocation/0/display_title
http://jesuitplantationproject.org/api/items/1200,1200,Thomas,3036,1778-10-10,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1201,1201,Henrietta,3038,1780-04-09,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1202,1202,John Baptist,3040,1781-09-01,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1203,1203,Gleotilda,3041,1782-10-12,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1204,1204,Jane,3043,1786-03-04,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1205,1205,Jerry,3045,1799-03-16,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1206,1206,Anna Hawkins,4095,1819-11-25,6,White Marsh
http://jesuitplantationproject.org/api/items/1207,1207,Lucia,4099,1819-12,6,White Marsh
http://jesuitplantationproject.org/api/items/1208,1208,Nantine,4102,1820-02-08,6,White Marsh
http://jesuitplantationproject.org/api/items/1209,1209,James  ,4105,1820-07,6,White Marsh
http://jesuitplantationproject.org/api/items/1210,1210,Monica,4107,1820-06-28,6,White Marsh
http://jesuitplantationproject.org/api/items/1211,1211,Crise Anna Queen,4109,1821-05-06,6,White Marsh
http://jesuitplantationproject.org/api/items/1212,1212,Simon,4112,1820-07-18,6,White Marsh
http://jesuitplantationproject.org/api/items/1213,1213,Anna,4115,1821-07-13,6,White Marsh
http://jesuitplantationproject.org/api/items/1214,1214,Joseph,4118,1821-08-20,6,White Marsh
http://jesuitplantationproject.org/api/items/1215,1215,John,4125,1822-07-11,6,White Marsh
http://jesuitplantationproject.org/api/items/1216,1216,Sophia,4126,1822-07-11,6,White Marsh
http://jesuitplantationproject.org/api/items/1217,1217,Gabriel,4129,1822-07-29,6,White Marsh
http://jesuitplantationproject.org/api/items/1218,1218,Marincelus Anderson,4131,1822-08-31,6,White Marsh
http://jesuitplantationproject.org/api/items/1219,1219,Cornelius (Hawkins),4133,1822-10-01,6,White Marsh
http://jesuitplantationproject.org/api/items/1220,1220,Louisa Parker,4137,1822-11-01,6,White Marsh
http://jesuitplantationproject.org/api/items/1221,1221,John Adison,4140,1822-12-10,6,White Marsh
http://jesuitplantationproject.org/api/items/1222,1222,Harrison Thorn,4143,1821-09-22,6,White Marsh
http://jesuitplantationproject.org/api/items/1223,1223,Maria Maglida Blacklog,4150,1823-01-14,6,White Marsh
http://jesuitplantationproject.org/api/items/1224,1224,Francis Hawkins,4158,1827-05-03,6,White Marsh
http://jesuitplantationproject.org/api/items/1225,1225,Mary,4161,1827-09-16,6,White Marsh
http://jesuitplantationproject.org/api/items/1226,1226,Richard Ignatius,4163,1828-04-24,6,White Marsh
http://jesuitplantationproject.org/api/items/1227,1227,William,4166,1828-05-02,6,White Marsh
http://jesuitplantationproject.org/api/items/1228,1228,Susan Hawkins,4168,1829-02-08,6,White Marsh
http://jesuitplantationproject.org/api/items/1229,1229,Cecilia (Hawkins) Adamy,4172,1829-02-08,6,White Marsh
http://jesuitplantationproject.org/api/items/1230,1230,Christopher,4176,1829-04-11,6,White Marsh
http://jesuitplantationproject.org/api/items/1231,1231,Martha A. Queen,4179,1829-11-29,6,White Marsh
http://jesuitplantationproject.org/api/items/1232,1232,Edward Harrison,4181,1831-03-13,6,White Marsh
http://jesuitplantationproject.org/api/items/1233,1233,John Francis Queen,4184,1831-04-03,6,White Marsh
http://jesuitplantationproject.org/api/items/1234,1234,John Henry,4186,1831-08-01,6,White Marsh
http://jesuitplantationproject.org/api/items/1235,1235,Moses,4189,1831-08-28,6,White Marsh
http://jesuitplantationproject.org/api/items/1236,1236,Thomas,4195,1832-01-01,6,White Marsh
http://jesuitplantationproject.org/api/items/1237,1237,Ruth Helena (Hawkins) Adamy,4197,1832-01-15,6,White Marsh
http://jesuitplantationproject.org/api/items/1238,1238,Nancy Ann Williams,4198,1832-01-29,6,White Marsh
http://jesuitplantationproject.org/api/items/1239,1239,Austin Hawkins,4202,1832-03-23,6,White Marsh
http://jesuitplantationproject.org/api/items/1240,1240,Martha Queen,4204,1832-03-23,6,White Marsh
http://jesuitplantationproject.org/api/items/1241,1241,Mary Hawkins,4207,1832-04-01,6,White Marsh
http://jesuitplantationproject.org/api/items/1242,1242,Eliza Hawkins,4209,1832-04-01,6,White Marsh
http://jesuitplantationproject.org/api/items/1243,1243,Richard,4212,1832-04-23,6,White Marsh
