dcterms:type/0/@value,Year,count,sum
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1838,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1717,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1803,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
inventory,1821,,
marriage,1770,,
marriage,1813,,
marriage,1817,,
marriage,1822,,
marriage,1823,,
marriage,1828,,
marriage,1829,,
marriage,1830,,
marriage,1831,,
marriage,1831,,
marriage,1831,,
marriage,1831,,
marriage,1831,,
