added,OS-ID,Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source
1,2067,4191,Catherine Harrison,1831-08-28,godparent,,"are 4183, 4191, and 4194 all the same person?",sacramental record,,,,,godparent of Moses,4189,,,White Marsh,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,2010,1108,Henny,1831-09-09,godparent,,,sacramental record,,,,,godparent of Matilda Ann,1141,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,2077,6188,Harriet,1831-12-26,godparent,,,sacramental record,,,,,godparent of Nicholas,6110,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,2067,4191,Catherine,1832-01-15,godparent,,"are 4183, 4191, and 4194 all the same person?",sacramental record,,,,,godparent of Ruth Helena,4197,,,White Marsh,Peter Havermans,J037,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,2069,4201,Elizabeth West,1832-01-29,godparent,,,sacramental record,,,,,godparent of Nancy Ann,4198,,,White Marsh,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,1287,6068,Henny,1832-02-19,godparent,,,sacramental record,,,,,godparent of John Henry,6189,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,2070,4203,Nancy Harrison,1832-03-23,godparent,,,sacramental record,,,,,godparent of Austin,4202,,,White Marsh,Peter Havermans,J037,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,2072,4206,Milly,1832-03-23,godparent,,,sacramental record,,,,,godparent of Martha,4204,,,White Marsh,R.O. Woodley,J058,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,1656,4155,Susanna Queen,1832-04-01,godparent,,,sacramental record,,,,,godparent of Eliza Hawkins,4209,,,White Marsh,Peter Havermans,J037,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,1790,4205,Sally,1832-04-01,godparent,,,sacramental record,,,,,godparent of Mary,4207,,,White Marsh,Peter Havermans,J037,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,2072,4206,Milly,1832-07-01,godparent,,,sacramental record,,,,,godparent of John Henry,4214,,,White Marsh,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,2039,1144,Mary,1832-07-29,godparent,,,sacramental record,,,,,godparent of Robert,1142,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,1656,4155,Susanna Queen,1832-10-21,godparent,,,sacramental record,,,,,godparent of Edward Queen,4216,,,White Marsh,Fidelis Grivel,J009,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,1342,6158,Clare,1832-11-15,godparent,,,sacramental record,,,,,godparent of James Henry,6193,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
?,1679,4123,Elizabeth Queen,1820-12-31,mention,,,sacramental record,,,,,,,,,White Marsh,F. Timmermans,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1678,4121,Sally,1821-08-20,mention,,,sacramental record,,,,,parent of Billy,4120,,,White Marsh,F. Van Quickenborne,J055,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1678,4121,Sally,1821-09-22,mention,,might be wrong Sally,sacramental record,,,,,parent of Sally,4146,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1672,4145,Nelly,1821-09-22,mention,,,sacramental record,,,,,parent of Jacks,4144,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1755,4149,Aaron,1821-09-22,mention,,,sacramental record,,,,,spouse of Sally,4148,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1681,4136,Polly,1822-10-01,mention,,,sacramental record,,,,,parent of Nancy,4136,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
?,1684,4192,Catherine Blacklaw,1831-10-30,mention,,,sacramental record,,,,,,,,,White Marsh,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,2074,6175,Charles,1822-02-03,witness,,might be 6127,sacramental record,,,,,witness to Jery,6174,witness to Synthia,7130,Newtown,Leonard Edelen,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,2075,6176,Nelly,1822-02-03,witness,,,sacramental record,,,,,witness to Jery,6174,witness to Synthia,7130,Newtown,Leonard Edelen,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,2060,4156,Ned Harrison,1823-01-11,witness,,,sacramental record,,,,,,,,,White Marsh,F. Timmermans,J055,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2061,4157,Nancy Griffin,1823-01-11,witness,,,sacramental record,,,,,,,,,White Marsh,F. Timmermans,J055,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
